A,C,M,TN,IV,SolidContent,Crosslinker,Pressure,PrintSpeed,n,Viscosity,LossTangent,NozzleSize,ChangeFilamentWidth,DiffusionRate,CollapseFactor,Printability,SwellingRate,CellViability,IncubationDay
0.5,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.33333333333333326,1.0,0.838235294117647,0.0,0.2634032634032635,1.0,1.0,0.5508976468063801,1.0,0.22480620155038755,0.02408344263318968,0.2941176470588234,1.0
0.5,0.25,0.0,0.0,0.0,0.4,0.0,0.33333333333333326,1.0,0.7647058823529411,0.013971272088457165,0.2867132867132868,1.0,0.5611510791366907,0.5005364423145697,0.4225,0.5348837209302325,0.015389419773905438,0.35294117647058787,1.0
0.5,0.5,0.0,0.0,0.0,0.5000000000000001,0.0,0.33333333333333326,1.0,0.36764705882352944,0.15730081636870932,0.2680652680652681,1.0,0.30935251798561153,0.5207066733423933,0.15,0.5271317829457365,0.007132596340016239,0.41176470588235237,1.0
0.5,0.75,0.0,0.0,0.0,0.6000000000000001,0.0,0.33333333333333326,1.0,0.4411764705882353,0.192504564086666,0.22610722610722608,1.0,0.2194244604316547,0.25327229811887564,0.05,0.6124031007751938,0.0,0.47058823529411686,1.0
0.5,0.0,1.0,0.0,0.0,0.7000000000000001,0.0,1.0,1.0,0.7794117647058824,0.0019083049154352244,0.3846153846153847,1.0,0.4964028776978417,0.4160646591803161,1.0,0.24806201550387597,0.2833302104802948,0.0,0.0
0.5,0.25,1.0,0.0,0.0,0.8,0.0,1.0,1.0,0.6323529411764706,0.11016086252626504,0.23076923076923075,1.0,0.07913669064748202,0.1289607324225735,0.0667,0.7364341085271316,0.2545999625257635,0.1764705882352935,0.0
0.5,0.5,1.0,0.0,0.0,0.9,0.0,1.0,1.0,0.19117647058823528,0.5697978023492128,0.10023310023310025,1.0,0.03237410071942446,0.008511551391173725,0.0,0.6511627906976744,0.18964461932421459,0.5294117647058822,0.0
0.5,0.75,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.11764705882352938,1.0,0.10955710955710954,1.0,0.0,0.0,0.0,0.689922480620155,0.15841608893885453,0.35294117647058787,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.6176470588235294,0.0023216561606558502,0.7016317016317016,0.0,0.3165467625899281,0.6406551748801945,1.0,0.0,0.408244332021735,0.6470588235294112,0.5714285714285714
0.125,0.0,0.0,1.0,0.0,0.20000000000000004,0.0,0.6666666666666665,0.0,0.5147058823529411,0.01903482484240984,0.5757575757575758,0.0,0.24460431654676257,0.6406551748801945,0.5,0.0,0.3457872712510149,0.7647058823529411,0.5714285714285714
